forecast_time,temperature,rain_probability,wind_speed,playability_score,cancellation_probability,recommended_round
2026-06-09 00:00:00,26.6,5,9.3,100,5,18 Holes
2026-06-09 01:00:00,25.1,7,11.7,90,7,18 Holes
2026-06-09 02:00:00,25.0,7,13.5,90,7,18 Holes
2026-06-09 03:00:00,24.9,4,14.5,90,4,18 Holes
2026-06-09 04:00:00,24.4,1,8.9,100,1,18 Holes
2026-06-09 05:00:00,23.8,3,8.5,100,3,18 Holes
2026-06-09 06:00:00,23.9,3,9.2,100,3,18 Holes
2026-06-09 07:00:00,23.5,9,8.0,100,9,18 Holes
2026-06-09 08:00:00,23.6,12,7.4,100,12,18 Holes
2026-06-09 09:00:00,23.2,32,3.3,85,32,18 Holes
2026-06-09 10:00:00,23.2,46,9.8,60,46,18 Holes
2026-06-09 11:00:00,22.9,65,8.8,60,65,9 Holes
2026-06-09 12:00:00,23.1,62,8.4,60,62,9 Holes
2026-06-09 13:00:00,23.8,50,6.8,60,50,18 Holes
2026-06-09 14:00:00,24.1,31,5.9,85,31,18 Holes
2026-06-09 15:00:00,22.9,47,5.1,60,47,18 Holes
2026-06-09 16:00:00,23.1,72,9.2,25,72,9 Holes
2026-06-09 17:00:00,24.5,77,13.5,15,77,9 Holes
2026-06-09 18:00:00,26.0,37,12.3,75,37,18 Holes
2026-06-09 19:00:00,27.9,15,10.0,100,15,18 Holes
2026-06-09 20:00:00,28.6,16,9.0,100,16,18 Holes
2026-06-09 21:00:00,28.0,16,17.1,90,16,18 Holes
2026-06-09 22:00:00,27.9,22,17.7,75,22,18 Holes
2026-06-09 23:00:00,27.0,30,14.8,75,30,18 Holes
2026-06-10 00:00:00,26.3,31,13.4,75,31,18 Holes
2026-06-10 01:00:00,24.8,23,11.2,75,23,18 Holes
2026-06-10 02:00:00,24.0,22,10.8,75,22,18 Holes
2026-06-10 03:00:00,23.7,23,12.1,75,23,18 Holes
2026-06-10 04:00:00,23.3,33,11.7,75,33,18 Holes
2026-06-10 05:00:00,23.1,45,8.8,60,45,18 Holes
2026-06-10 06:00:00,22.0,36,12.3,75,36,18 Holes
2026-06-10 07:00:00,22.1,31,6.9,85,31,18 Holes
2026-06-10 08:00:00,22.4,23,10.8,75,23,18 Holes
2026-06-10 09:00:00,22.5,23,10.0,85,23,18 Holes
2026-06-10 10:00:00,22.3,37,9.0,85,37,18 Holes
2026-06-10 11:00:00,21.4,45,10.4,50,45,18 Holes
2026-06-10 12:00:00,21.2,42,15.1,50,42,18 Holes
2026-06-10 13:00:00,22.2,46,21.4,30,46,9 Holes
2026-06-10 14:00:00,24.0,22,17.9,75,22,18 Holes
2026-06-10 15:00:00,26.5,9,13.6,90,9,18 Holes
2026-06-10 16:00:00,28.0,6,12.1,90,6,18 Holes
2026-06-10 17:00:00,29.3,6,14.1,90,6,18 Holes
2026-06-10 18:00:00,30.0,6,17.2,90,6,18 Holes
2026-06-10 19:00:00,30.3,7,17.1,90,7,18 Holes
2026-06-10 20:00:00,30.4,5,16.4,90,5,18 Holes
2026-06-10 21:00:00,30.0,6,16.6,90,6,18 Holes
2026-06-10 22:00:00,29.8,7,14.1,90,7,18 Holes
2026-06-10 23:00:00,29.1,6,12.1,90,6,18 Holes
2026-06-11 00:00:00,28.1,3,8.2,100,3,18 Holes
2026-06-11 01:00:00,27.0,2,7.3,100,2,18 Holes
2026-06-11 02:00:00,26.0,2,8.0,100,2,18 Holes
2026-06-11 03:00:00,25.4,2,7.7,100,2,18 Holes
2026-06-11 04:00:00,24.9,2,7.9,100,2,18 Holes
2026-06-11 05:00:00,24.5,2,8.3,100,2,18 Holes
2026-06-11 06:00:00,24.1,1,6.7,100,1,18 Holes
2026-06-11 07:00:00,23.8,3,7.2,100,3,18 Holes
2026-06-11 08:00:00,23.5,3,8.3,100,3,18 Holes
2026-06-11 09:00:00,23.0,3,5.4,100,3,18 Holes
2026-06-11 10:00:00,23.1,3,7.7,100,3,18 Holes
2026-06-11 11:00:00,22.6,3,7.8,100,3,18 Holes
2026-06-11 12:00:00,23.7,3,8.9,100,3,18 Holes
2026-06-11 13:00:00,24.6,9,8.2,100,9,18 Holes
2026-06-11 14:00:00,25.9,9,13.6,90,9,18 Holes
2026-06-11 15:00:00,28.0,9,14.7,90,9,18 Holes
2026-06-11 16:00:00,29.1,9,15.0,90,9,18 Holes
2026-06-11 17:00:00,30.5,9,16.1,90,9,18 Holes
2026-06-11 18:00:00,31.4,9,16.3,90,9,18 Holes
2026-06-11 19:00:00,31.8,3,15.9,90,3,18 Holes
2026-06-11 20:00:00,31.9,3,15.1,90,3,18 Holes
2026-06-11 21:00:00,31.3,3,16.1,90,3,18 Holes
2026-06-11 22:00:00,30.5,3,14.4,90,3,18 Holes
2026-06-11 23:00:00,29.3,3,13.2,90,3,18 Holes
